TransactionID,Name,Amount,Time
1,Ibrahim,54.96714153011233,22.682425259339407
2,Chioma,48.61735698828815,31.48060138532288
3,Titilayo,56.47688538100692,31.305276360899448
4,Ifeoma,65.23029856408026,30.025567283212304
5,Paul,47.658466252766644,28.827064333124266
6,Chidera,47.6586304305082,22.92314628974793
7,Precious,65.79212815507391,27.896773386173205
8,Jide,57.67434729152909,28.286427417366152
9,Ijeoma,45.30525614065048,25.988613653891903
10,Abdul,55.42560043585965,29.193571441669953
11,Michael,45.365823071875376,32.02025428407269
12,Nnamdi,45.34270246429743,39.43092950605265
13,Isaac,52.41962271566034,30.872889064159196
14,Chisom,30.86719755342202,31.28775195361382
15,Gabriel,32.75082167486967,29.627770421169163
16,Solomon,44.37712470759027,20.406143923504793
17,Hope,39.87168879665576,29.867430622753915
18,Ogechi,53.142473325952736,30.301151049705133
19,Grace,40.91975924478789,42.316210562426434
20,David,35.87696298664709,29.038195176094387
21,Anu,64.65648768921554,31.507736711668063
22,Jumoke,47.74223699513465,29.826441151473784
23,Femi,50.67528204687924,24.15660981190234
24,Taiwo,35.75251813786544,35.7141140725751
25,Philip,44.556172754748175,33.75966516343387
26,Segun,51.10922589709866,33.95515973521523
27,Matthew,38.490064225776976,25.453062726026303
28,Oluwatobi,53.75698018345672,37.013971554680495
29,Aisha,43.99361310081195,22.990744686038596
30,Amaka,47.083062502067236,32.93428546900135
31,Patience,43.98293387770603,40.952278129049894
32,Sarah,68.52278184508938,25.04731837434656
33,Mercy,49.86502775262066,27.16851135198614
34,Aminat,39.422890710440996,30.498256825438204
35,Zainab,58.225449121031886,27.482621729419005
36,Faith,37.791563500289776,22.246682844669337
37,Ruth,52.08863595004755,30.342814874030136
38,Kelechi,30.403298761202244,24.688481431369475
39,Ngozi,36.71813951101569,32.36796215317591
40,Oladipo,51.96861235869123,25.402878828830985
41,Joshua,57.38466579995411,37.7496720250877
42,Rotimi,51.7136828118997,26.083733538318814
43,Rashidat,48.843517176117594,28.38969241897162
44,Esther,46.98896304410711,34.06758608684835
45,Chinedu,35.214780096325725,23.845678417830225
46,Ishola,42.801557916052914,31.137299673020646
47,Kehinde,45.393612290402125,36.53571377141214
48,Oluwaseun,60.57122226218915,21.96258382719386
49,Victoria,53.43618289568462,30.92316929266152
50,Chukwuemeka,32.36959844637266,31.299413971242117
51,Cynthia,53.24083969394795,33.909114358886555
52,Musa,46.149177195836835,23.81524644560959
53,Miracle,43.23077999694041,23.397716934578618
54,Obinna,56.11676288840868,32.60970782808449
55,Nkechi,60.30999522495951,31.48492336616593
56,Bola,59.31280119116199,31.252464251729382
57,Joy,41.607824767773614,31.732241047484877
58,Joseph,46.907876241487855,26.599876392107547
59,Adeola,53.31263431403564,31.161268485805017
60,Emeka,59.75545127122359,31.465362366493405
61,Abiola,45.2082576215471,26.42824290986816
62,Peter,48.14341023336183,39.328872555723784
63,Uche,38.93665025993972,32.36916460455894
64,Adebayo,38.037933759193294,24.043482513986756
65,Sola,58.125258223941984,33.28276804316915
66,Odunayo,63.56240028570823,25.126591648863393
67,Ada,49.27989878419666,33.93542301871226
68,Ozioma,60.03532897892024,35.79297789503702
69,Temitope,53.61636025047634,25.89658840824145
70,Nneka,43.54880245394876,34.816880646221605
71,Funke,53.61395605508414,32.063904634682494
72,Deborah,65.38036566465969,34.11030079997245
73,Hannah,49.64173960890049,39.48396491326974
74,Omolara,65.64643655814007,28.773059419985646
75,Tope,23.802548959102555,26.23131917821255
76,Seyi,58.21902504375224,25.552427851872384
77,Efe,50.870470682381715,25.920948575172808
78,Kudirat,47.009926495341325,29.614491452929478
79,Ayodele,50.91760776535502,31.70575987408322
80,Olamide,30.124310853991073,31.383453996650097
81,Miriam,47.80328112162488,34.13591624518012
82,Olumide,53.57112571511746,30.065009459389536
83,Chinonso,64.77894044741517,37.26767038578659
84,Kunle,44.81729781726352,28.67671583381022
85,Samuel,41.91506397106812,43.600845832948096
86,Blessing,44.982429564154636,33.128336738825034
87,Daniel,59.15402117702074,25.714212217918586
88,Ikenna,53.287511096596845,24.64553750969444
89,Tosin,44.70239796232961,32.41236207621593
90,Gbenga,55.13267433113356,28.882686073370746
91,Opeyemi,50.9707754934804,33.57000247046046
92,Rebecca,59.68644990532889,32.366188122867726
93,Raphael,42.979469061226474,29.635855436715637
94,Chijioke,46.723378534022316,25.766031409657977
95,Naomi,46.078918468678424,22.425763876570677
96,Chiamaka,300.0,200.0
97,Onyeka,500.0,250.0
98,Ebuka,700.0,400.0
99,Yemi,1000.0,450.0
100,Mary,1200.0,500.0
